Nom du produit,Marque,Stockage,Référence,Taille écran,CPU,Prix,Site web,Catégorie
,,,,,,,cdiscount.com,ORDINATEUR
"PC Portable - Ninkear A15 Plus Windows 11 i7 Ordinateur portable 15,6"" FHD 32 Go DDR4 1 To SSD Déverrouillage par empreinte",,,,"15.6"" FHD",,"595,99",cdiscount.com,ORDINATEUR
"PC Portable - Ninkear A15 Pro - Ordinateur portable 15.6"" FHD AMD Ryzen™ 7 Windows 11 32Go DDR4 1To SSD Déverrouillage par",,,,"15.6"" FHD",,"579,99",cdiscount.com,ORDINATEUR
,,,,,,,cdiscount.com,ORDINATEUR
,,,,,,,cdiscount.com,ORDINATEUR
"PC Portable LENOVO IdeaPad 1 15IGL7 | Windows 11 + 1 an Office - 15,6"" FHD - Celeron N4500 - RAM 4 Go - Stockage 128Go - AZERTY",LENOVO,128Go eMMC 5.1,82LX009RFR,,"Intel® Celeron® N4500 (2C / 2T, 1.1 / 2.8GHz, 4MB L3)","249,99",cdiscount.com,ORDINATEUR
,,,,,,,cdiscount.com,ORDINATEUR
"PC portable,Intel Celeron N5095(4C/4T,Jusqu'à 2,9 GHz),24Go RAM DDR4 512Go SSD,Windows 11PRO,WiFi5,Ordinateur Portable,AZERTY",,,,,Intel celeron N5095,"289,99",cdiscount.com,ORDINATEUR
,,,,,,,cdiscount.com,ORDINATEUR
"PC portable,Intel Celeron N5095(4C/4T,Jusqu'à 2,9 GHz),24Go RAM DDR4 512Go SSD,Windows 11PRO,WiFi5,Ordinateur Portable,AZERTY",,,,,Intel celeron N5095,"289,99",cdiscount.com,ORDINATEUR
ORDINATEUR PORTABLE HP 14-EM0033NF,HP,,948P8EA#ABF,,,569,cdiscount.com,ORDINATEUR
"PC portable 15.6""-Intel Celeron N4000(Jusqu'à 3.0 GHz)-8Go RAM DDR4 256Go SSD-Windows 11PRO-WiFi5-Ordinateur Portable",,SSD,,Oui,Intel N4000,"206,99",cdiscount.com,ORDINATEUR
"PC Portable Notebook - THOMSON NEO14 - 14,1"" HD - N4020 - RAM 4Go - 128Go SSD - Windows 11S - Blanc + Office 1 an + Housse + Souris",THOMSON,128 GB,TH14C4WH128CMS,,Intel Celeron N4020,"319,99",cdiscount.com,ORDINATEUR
,,,,,,,cdiscount.com,ORDINATEUR
"PC portable Gamer ERAZER Deputy P60i | Livré sans Windows -15,6"" FHD 144Hz -RTX 4060 - Core i5-12450H- RAM 16Go- 512Go SSD- AZERTY",ERAZER,SSD,30038061,,"Intel® Core™ i5-12450H (3,3GHz - 45W)","699,99",cdiscount.com,ORDINATEUR
,,,,,,,cdiscount.com,ORDINATEUR
"PC Portable HP 17-cn0019nf - Windows 11 - 17,3"" HD+ - Celeron N4120 - RAM 4Go - Stockage 128Go SSD - AZERTY",HP,,9P9A6EA#ABF,Oui,Intel® Celeron® N4120,"299,99",cdiscount.com,ORDINATEUR
"PC Portable,AMD Ryzen9 6900HX(8C-16T, jusqu'à 4,9 GHz) 16Go DDR5,512Go M.2 SSD,WiFi 6 pour Ordinateur portable Gamer",,,,,AMD Ryzen 9 6900HX,"579,99",cdiscount.com,ORDINATEUR
"PC Portable HP 15s-eq2083nf - 15,6"" FHD - Ryzen 5-5500U - RAM 16Go - Stockage 512Go SSD - Windows 11 - AZERTY",HP,,HP15SEQ2083NF,Oui,AMD Ryzen 5 5500U,"519,99",cdiscount.com,ORDINATEUR
,,,,,,,cdiscount.com,ORDINATEUR
"Ordinateur Portable 15,6"" FHD,12 Go RAM 256 Go SSD, Intel Celeron Notebook 2.6Ghz,PC Portable Windows 11 PRO-souris-Argent-AZERTY",,,,"15,6 Pouces","Intel Celeron N4000 (2,6 GHz)","244,99",cdiscount.com,ORDINATEUR
"PC portabler 16.1"" Botrend-Intel N5095-128Go HDD+Storage 2To SSD-Intel UHD Graphics 615-Batterie 5000mAh-Ordinateur Portable,Noir",,,,,Intel N5095,"288,66",cdiscount.com,ORDINATEUR
,,,,,,,cdiscount.com,ORDINATEUR
"PC Portable ASUS VivoBook 15 S1502 | 15,6"" FHD - Intel Core i5 12500H - RAM 16Go - 512Go SSD - Win 11",ASUS,,S1502ZAEJ1951W,Oui,Intel Core i5 (12ème génération) 12500H / 2.5 GHz,"559,99",cdiscount.com,ORDINATEUR
,,,,,,,cdiscount.com,ORDINATEUR
,,,,,,,cdiscount.com,ORDINATEUR
"PC portable Gamer- ERAZER- Deputy P60i- 15,6"" FHD 144Hz- Core i5-12450H- RAM 16Go- SSD 512Go- RTX 4060- AZERTY- Livré sans Windows",ERAZER,SSD,30038061,,"Intel® Core™ i5-12450H (3,3GHz - 45W)","849,99",cdiscount.com,ORDINATEUR
,,,,,,,cdiscount.com,ORDINATEUR
"PC Portable HP 15s-fq0024nf - Windows  11 - 15,6"" FHD - Celeron N4120 - RAM 4Go - 128Go SSD - Microsoft 365 Personnel inclus 1 an",HP,,9J3L5EA#ABF,Oui,Intel Celeron N4120,"299,99",cdiscount.com,ORDINATEUR
,,,,,,,cdiscount.com,ORDINATEUR
,,,,,,,cdiscount.com,ORDINATEUR
"PC Portable ASUS VivoBook 15 R1504 | Sans Windows - 15,6"" FHD - Intel Core i7 1255U - RAM 16Go - 512Go SSD",ASUS,,90NB1022-M02JU0,Oui,Intel core i7-1255U / 1.7 GHz,"489,99",cdiscount.com,ORDINATEUR
"PC Portable HP 17-cp0012nf - Windows 11 - 17,3"" FHD - Ryzen 5-5500U - RAM 16Go - Stockage 512Go SSD - AZERTY",HP,,A7JY3EA#ABF,,AMD Ryzen™ 5 5500U,"529,99",cdiscount.com,ORDINATEUR
,,,,,,,cdiscount.com,ORDINATEUR
,,,,,,,cdiscount.com,ORDINATEUR
PC Portable LENOVO IdeaPad 3 17IAU7 | Windows 11 - 17'' HD + - Core i5-1235U - RAM 16 Go - SSD 512 Go - AZERTY,LENOVO,SSD 512 Go M.2 2242 NVMe®,82RL00CCFR,,Intel® Core™ i5-1235U,"549,99",cdiscount.com,ORDINATEUR
,,,,,,,cdiscount.com,ORDINATEUR
,,,,,,,cdiscount.com,ORDINATEUR
,,,,,,,cdiscount.com,ORDINATEUR
NOTODD PC Portable 16''- Stockage 12Go+512Go - Intel Celeron N5095 - Ordinateur Portable Windows 11 - FHD 1920*1200 - WiFI 5G +,,SSD SATA M2,,,Intel Celeron N5095,"299,99",cdiscount.com,ORDINATEUR
"PC Portable - Dell Latitude E7270 - 12""  Core i5 - 8Go RAM - 256Go SSD - Windows 10 Pro - Reconditionné Etat Correct",DELL,,,,Intel Core i5-6300U,199,cdiscount.com,ORDINATEUR
,,,,,,,cdiscount.com,ORDINATEUR
,,,,,,,cdiscount.com,ORDINATEUR
PC Portable Chromebook LENOVO IdeaPad Slim 3 14M868 | Chrome OS - 14'' FHD - MT8186 - RAM 4Go - Stockage 64Go - AZERTY,LENOVO,64GB eMMC 5.1,82XJ0047FR,,MediaTek Kompanio 520,"219,99",cdiscount.com,ORDINATEUR
,,,,,,,cdiscount.com,ORDINATEUR
PC Portable LENOVO IdeaPad Slim 3 15IAN8| Sans Windows - 15'' FHD - Core i3-N305 - RAM 8 Go - SSD 512 Go - AZERTY,LENOVO,SSD,82XB006UFR,,Intel® Core™ i3-N305,"379,99",cdiscount.com,ORDINATEUR
NOTODD PC Portable 16''- Stockage 12Go+512Go - Intel Celeron N5095 - Ordinateur Portable Windows 11 - FHD 1920*1200 - WiFI 5G +,,SSD SATA M2,,,Intel Celeron N5095,"299,99",cdiscount.com,ORDINATEUR
"PC Portable HP 15-fd0064nf - Windows 11 - 15,6"" FHD - Core i3-N305 - RAM 8Go - Stockage 256Go SSD - AZERTY",HP,,9Z300EA#ABF,Oui,Intel® Core™ i3-N305,"379,99",cdiscount.com,ORDINATEUR
"PC Portable HP 15s-eq2083nf - Windows 11 - 15,6"" FHD - Ryzen 5-5500U - RAM 16Go - Stockage 512Go SSD - AZERTY",HP,,6U7X2EA#ABF,Oui,AMD Ryzen™ 5 5500U,"599,99",cdiscount.com,ORDINATEUR
NOTODD PC Portable 16''- Stockage 12Go+512Go - Celeron N5095 - Ordinateur Portable Windows 11 - FHD 1920*1200 - 5G/2.4G WiFI -,,SSD,,,Celeron N5095,"299,99",cdiscount.com,ORDINATEUR
"PC portable - 16.1""FHD+ - 24 Go de RAM 512 Go SSD Intel Celeron N95 (Jusqu'à 2,9 GHz) - Windows 11 PRO - WiFi6 - Ordinateur",,,,,,"289,99",cdiscount.com,ORDINATEUR
,,,,,,,cdiscount.com,ORDINATEUR
,,,,,,,cdiscount.com,ORDINATEUR
,,,,,,,cdiscount.com,ORDINATEUR
,,,,,,,cdiscount.com,ORDINATEUR
"PC Portable Notebook - THOMSON NEO15 - 15,6"" FHD - Core i3-10110U - RAM 8Go - 256Go SSD - Windows 11 - Noir - AZERTY",THOMSON,256 GB,TH15I310-8GR256,,Intel Core i3-10110U,"289,99",cdiscount.com,ORDINATEUR
