Nom du produit,Marque,RAM,Capacité (mémoire),Couleur(s),Référence,Modèle de téléphone,Prix,Site web,Catégorie
SAMSUNG Galaxy A54 5G Smartphone Noir 128 Go,SAMSUNG,8 Go,128 Go,Noir,SM-A546BZKCEEB,A54 EE,229,cdiscount.com,SMARTPHONE
"OUKITEL C57S Smartphone - 8Go (2+6) RAM /64Go ROM - Écran 6.52"" HD - Android 14 - Caméra 13MP - 4300mAh - GPS Double SIM 4G - Bleu",OUKITEL,2 Go RAM + jusqu'à 6 Go d'extension,64 Go,Bleu,,C57S,"69,99",cdiscount.com,SMARTPHONE
"OUKITEL C57 Pro 4G Smartphone 16Go (4+12) RAM /128Go ROM - 6.52"" 13MP Android 14 Téléphone Portable 4300mAh GPS Double SIM - Noir",OUKITEL,4 Go RAM + jusqu'à 12 Go d'extension,16Go (4+12) RAM/ 128Go ROM,Noir,,C57 Pro,"81,99",cdiscount.com,SMARTPHONE
"OUKITEL WP35 Téléphone - 24Go + 256Go - 64MP - 6,6"" - 11000mAh - IP68 - Smartphone Robuste Double SIM 5G - NFC - GPS - Gris",OUKITEL,8 Go + 16 Go d‘extension,24Go + 256Go,Gris,,OUKITEL WP35,"249,99",cdiscount.com,SMARTPHONE
APPLE iPhone 14 128GB Midnight - Reconditionné - Excellent état,APPLE,,128 Go,Midnight,MPUF3ZD/A,Iphone 14,"399,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
Xiaomi Redmi 14C Bleu - 128Go - 4Go,XIAOMI,,,,,,"98,99",cdiscount.com,SMARTPHONE
SAMSUNG Galaxy S20FE 128Go 5G Bleu,SAMSUNG,,,,G781 B,,"164,4",cdiscount.com,SMARTPHONE
XIAOMI - REDMI 13C - 128Go - Noir minuit,XIAOMI,LPDDR4X extensible jusqu’à 16 Go,128Go,Noir minuit,REDMI13C4128N,Redmi 13C,"90,87",cdiscount.com,SMARTPHONE
"Blackview WAVE 8C Smartphone 6Go (2+4) RAM /64Go ROM 6.56"" HD+ 13MP 4700mAh Téléphone Portable Android 14 GPS Double SIM 4G - Noir",BLACKVIEW,2 Go + 4 Go extension de RAM virtuelle,(2+4) Go RAM + 64 Go ROM,Noir,,WAVE 8C,"72,99",cdiscount.com,SMARTPHONE
"Téléphone Portable pas cher Oscal FLAT 1C 6,517 pouces 4Go+32Go-SD 1To 8MP+5MP 4700mAh Android 13 Dual SIM - Bleu",OSCAL,2 Go + jusqu'à 2 Go d'extension,32 Go,Bleu,,Oscal FLAT1C,"68,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
XIAOMI Redmi 13C 256Go Bleu,XIAOMI,LPDDR4X extensible jusqu’à 16 Go1,256 Go,Bleu marine,REDMI13C8256B,REDMI 13C,"101,88",cdiscount.com,SMARTPHONE
SAMSUNG Galaxy A14 5G Noir 64 Go,SAMSUNG,4 Go,64 Go,Noir,SM-A156BZKDEUB,A14 5G,"98,88",cdiscount.com,SMARTPHONE
HUAWEI P30 Lite 128 Go Noir,HUAWEI,4 Go,128 Go,Noir,51095RHL,,"86,96",cdiscount.com,SMARTPHONE
SAMSUNG Galaxy A10 Noir,SAMSUNG,2 Go,32 Go,Noir,SM-A105FZKYXEF,Galaxy A10,"82,99",cdiscount.com,SMARTPHONE
SMARTPHONE - Vivo V40 5G Violet 8Go Ram 256Go,VIVO,,,,,,359,cdiscount.com,SMARTPHONE
"Smartphone Incassable - Ulefone Armor 25T Pro - Android 14 4G - 12Go+256Go - 6.78""FHD+ D'Imagerie Thermique Dual SIM - Noir",ULEFONE,,256 Go,,,,"404,88",cdiscount.com,SMARTPHONE
Redmi Note 14 Pro Smartphone 5G 12Go RAM 512Go ROM - Noir,,,,,,,"329,99",cdiscount.com,SMARTPHONE
SAMSUNG Galaxy Z Flip3 128Go Crème,SAMSUNG,8 Go,128 Go,Crème,F711128 W,Samsung Galaxy Z Flip3,"266,99",cdiscount.com,SMARTPHONE
"Telephone Portable Incassable DOOGEE Blade10 Power 24Go+256Go,6.6"" Écran HD+ 10300mAh Smartphone Robustee Android 14 NFC -Argent",DOOGEE,24 Go (6 Go + jusqu'à 18 Go de RAM étendue),24 Go (6 Go + jusqu'à 18 Go de RAM étendue) + 256 Go de ROM,Argent,,BLADE10POWER,"149,99",cdiscount.com,SMARTPHONE
APPLE iPhone 12 128Go Noir - Reconditionné - Excellent état,APPLE,,128 Go,Noir,MGJA3F/A,,248,cdiscount.com,SMARTPHONE
Motorola Moto G24 Power 8 Go/256 Go Bleu (Glacier Blue) Double SIM,MOTOROLA,,,,,,"143,15",cdiscount.com,SMARTPHONE
Samsung Galaxy A05s 4Go+64Go Noir,SAMSUNG,4 Go,64 Go,Noir,,Samsung Galaxy A05s 4G,"115,99",cdiscount.com,SMARTPHONE
SAMSUNG Galaxy A52 4G Noir (2021) - Reconditionné - Excellent état,SAMSUNG,6 Go,128 Go,Noir,SM-A525FZKGEUH,,"128,99",cdiscount.com,SMARTPHONE
"XIAOMI Redmi Note 14 Pro Plus 5G Smartphone 12+512Go Noir Snapdragon 7s Gen3 Triple Caméra 200MP Écran AMOLED 120Hz 6,67"" 5110mAh",XIAOMI,,,,,,"359,99",cdiscount.com,SMARTPHONE
Smartphone Samsung Galaxy A41 - Noir - Double SIM - 64 Go de stockage - 4 Go de RAM,SAMSUNG,,,,,,"123,99",cdiscount.com,SMARTPHONE
"Telephone Portable Incassable DOOGEE Blade10 Power 24Go+256Go,6.6"" Écran HD+ 10300mAh Smartphone Robustee Android 14 NFC -Argent",DOOGEE,24 Go (6 Go + jusqu'à 18 Go de RAM étendue),24 Go (6 Go + jusqu'à 18 Go de RAM étendue) + 256 Go de ROM,Argent,,BLADE10POWER,"149,99",cdiscount.com,SMARTPHONE
SAMSUNG Galaxy A16 Smartphone 128Go Bleu nuit,SAMSUNG,4 Go,128 Go,Bleu nuit,SM-A165FZKBEUB,A16 4G,"139,98",cdiscount.com,SMARTPHONE
APPLE iPhone 13 128 Go Midnight (2021) - Reconditionné - Excellent état,APPLE,,128 Go,Noir,MLPF3F/A,,"319,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
