Nom du produit,Marque,Stockage,Référence,Taille écran,CPU,Prix,Site web,Catégorie
"PC Portable 14"" - Ninkear T40 - Tablette écran tactile FHD, Intel N100  avec stylet, Windows 11 16Go DDR5 512 Go SSD RVB WiFi 6",,,,14“ FHD,,"429,99",cdiscount.com,ORDINATEUR
"ACEMAGIC Ordinateur Portable,15,6'' FHD 16Go DDR4 512Go SSD, intel Quad-Core N97(Jusqu'à 3,60 GHz),WiFI,BT5, USB3.2,Type C,(Argent)",,512Go,,"L'écran IPS de 15,6 pouces, doté d'une résolution de 1920*1080",Intel Quad-Core 12th Alder Lake N 97,"299,99",cdiscount.com,ORDINATEUR
"PC Portable Notebook - THOMSON NEO17 - 17,3"" HD - Core i3-1000G4 - RAM 16Go - 512Go SSD - Windows 11 - Noir - AZERTY",THOMSON,512 GB,TH17I310-16BK512,,Intel Core i3-1000G4,"399,99",cdiscount.com,ORDINATEUR
,,,,,,,cdiscount.com,ORDINATEUR
"PC Portable HP 15s-eq2083nf - Windows 11 - 15,6"" FHD - Ryzen 5-5500U - RAM 16Go - Stockage 512Go SSD - AZERTY",HP,,6U7X2EA#ABF,Oui,AMD Ryzen™ 5 5500U,"499,99",cdiscount.com,ORDINATEUR
"PC Portable ACER Chromebook 314 CB314-2H-K04F - 14"" FHD - MTK MT8183 - RAM 4Go - Stockage 32Go - Chrome OS - AZERTY",ACER,,NX.AWFEF.00D,Oui,MTK MT8183,"209,99",cdiscount.com,ORDINATEUR
,,,,,,,cdiscount.com,ORDINATEUR
"PC portable,Intel Celeron N5095(4C/4T,Jusqu'à 2,9 GHz),24Go RAM DDR4 512Go SSD,Windows 11PRO,WiFi5,Ordinateur Portable,AZERTY",,,,,Intel celeron N5095,"289,99",cdiscount.com,ORDINATEUR
,,,,,,,cdiscount.com,ORDINATEUR
"Ordinateur Portable 15,6"" FHD,12 Go RAM 256 Go SSD, Intel Celeron Notebook 2.6Ghz,PC Portable Windows 11 PRO-souris-Argent-AZERTY",,,,"15,6 Pouces","Intel Celeron N4000 (2,6 GHz)",,cdiscount.com,ORDINATEUR
"Ordinateur portable Auusda 15,6"" AMD Ryzen 7 5825U (jusqu'à 4,5 GHz), 16 Go RAM DDR4, 512GB NVMe SSD, PC Portable Windows 11 Pro",,512 GB,,Oui,AMD Ryzen™ 7 5825U,"476,99",cdiscount.com,ORDINATEUR
,,,,,,,cdiscount.com,ORDINATEUR
"PC Portable HP 15s-fq0024nf - Windows  11 - 15,6"" FHD - Celeron N4120 - RAM 4Go - 128Go SSD - Microsoft 365 Personnel inclus 1 an",HP,,9J3L5EA#ABF,Oui,Intel Celeron N4120,"299,99",cdiscount.com,ORDINATEUR
"PC Portable HP 17-cn0019nf - Windows 11 - 17,3"" HD+ - Celeron N4120 - RAM 4Go - Stockage 128Go SSD - AZERTY",HP,,9P9A6EA#ABF,Oui,Intel® Celeron® N4120,"299,99",cdiscount.com,ORDINATEUR
,,,,,,,cdiscount.com,ORDINATEUR
"16.1""FHD+ PC portable Windows 11, 24 Go de RAM 512 Go SSD Intel Celeron N5095 (2,9 GHz) angle d'ouverture de 170° Clavier AZERTY",,,,,,"289,99",cdiscount.com,ORDINATEUR
PC Portable LENOVO Yoga Slim 7x 14Q8X9 | Windows 11 - 14'' 3K 90hz OLED - Snapdragon X Elite - RAM 32Go - SSD 1To - AZERTY,LENOVO,SSD,83ED000MFR,Oui,Snapdragon® X Elite X1E-78-100,"1599,99",cdiscount.com,ORDINATEUR
"PC Portable HP 17-cp0012nf - Windows 11 - 17,3"" FHD - Ryzen 5-5500U - RAM 16Go - Stockage 512Go SSD - AZERTY",HP,,A7JY3EA#ABF,,AMD Ryzen™ 5 5500U,"579,99",cdiscount.com,ORDINATEUR
PC Portable LENOVO IdeaPad Slim 3 15IRH8 | Sans Windows - 15'' FHD IPS - Core i7-13620H - RAM 16 Go - SSD 1 To - AZERTY,LENOVO,SSD,83EM005PFR,,Intel® Core™ i7-13620H,"699,99",cdiscount.com,ORDINATEUR
