Nom du produit,Marque,RAM,Capacité (mémoire),Couleur(s),Référence,Modèle de téléphone,Prix,Site web,Catégorie
,,,,,,,,cdiscount.com,SMARTPHONE
Smartphone - HUAWEI - P40 Lite - 128 Go - Double SIM - Rose - Android 10,HUAWEI,6 Go,128 Go,Rose,51095CKG,,"89,81",cdiscount.com,SMARTPHONE
Smartphone - HUAWEI - P40 Lite 5G - 128 Go - 6 Go RAM - 64 MP + 8 MP + 2 MP + 2 MP - Space Silver,HUAWEI,6 Go,128 Go,Argent,51095MCA,,"102,99",cdiscount.com,SMARTPHONE
APPLE iPhone 12 128Go Noir - Reconditionné - Excellent état,APPLE,,128 Go,Noir,MGJA3F/A,,"225,76",cdiscount.com,SMARTPHONE
SAMSUNG Galaxy S25 Ultra AI Smartphone 512 Go Noir Titane,SAMSUNG,12 go,512 Go,Noir Titane,SM-S938BZTGEUB,S25 Ultra,1499,cdiscount.com,SMARTPHONE
Smartphone Google Pixel 8 128Go Noir Volcanique 5G,GOOGLE,,128 Go,Noir,,,"427,99",cdiscount.com,SMARTPHONE
APPLE iPhone 13 mini 128 Go Pink (2021) - Reconditionné - Excellent état,APPLE,,128 Go,Rose,MLK23F/A,,"272,88",cdiscount.com,SMARTPHONE
Redmi Note 14 Pro+ 5G Noir 8 GO + 256 GO,XIAOMI,,,,,,"309,76",cdiscount.com,SMARTPHONE
SMARTPHONE Realme 14 Pro + 5G Gris 8Go Ram 256Go,,,,,,,379,cdiscount.com,SMARTPHONE
"Smartphone Robuste DOOGEE S119 24Go + 512Go 10200mAh telephone Android 14 Écran arrière de 1,32"" Caméra 100MP 4G SIM/NFC- Rouge",DOOGEE,24Go (8 Go + jusqu'à 16 Go de RAM étendue),24Go (8 Go + jusqu'à 16 Go de RAM étendue) + 512 Go de ROM,Rouge,,S119,"245,99",cdiscount.com,SMARTPHONE
"Téléphone portable DOOGEE N55PRO 6.56 pouce HD+ 90Hz 16Go + 256Go smartphone Android 14, batterie 5150 mAh caméra 13MP + 8MP",DOOGEE,16Go (6Go + jusqu'à 10go RAM étendue),16Go + 256Go,Bleu,,N55PRO,"109,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
Honor Magic7 Lite 5G Violet - Smartphone 5G-LTE Dual SIM IP54 - Snapdragon 6 Gen 1 8-Core 2.2 GHz - RAM 8 Go - Ecran tactile AMOLED,HONOR,,,,,,"301,98",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
SAMSUNG Galaxy A12 2021 Noir,SAMSUNG,4 Go,,,A127 N,,110,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
Samsung Galaxy Z Flip5 Smartphone 256 Go,SAMSUNG,RAM : 8Go LPDDR5X,256 Go,Graphite,SM-F731BZAGEUB,Samsung Galaxy Z Flip5,"469,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
"15 Pro Max Smartphone 6.23"" FHD 4Go + 128Go 3400mAh Double SIM 4G - Noir",,4 Go,128 Go,Noir,,15 Pro Max,"67,49",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
Xiaomi Redmi 14C Vert (4 Go / 128 Go) - Smartphone 4G-LTE Dual SIM - Helio G81-Ultra 8-Core 2.0 GHz - RAM 4 Go - Ecran tactile 6.88',XIAOMI,,,,,,103,cdiscount.com,SMARTPHONE
APPLE iPhone 16 256GB Pink,APPLE,,,,MYEG3ZD/A,,999,cdiscount.com,SMARTPHONE
XIAOMI - Redmi Note 14 4G - 8 Go + 256 Go - Ocean Blue,XIAOMI,,,,RN148256B,,"154,99",cdiscount.com,SMARTPHONE
"Téléphone Portable 5G Blackview Shark 9 NFC (8+16)Go RAM 256Go ROM Android 14 6.67"" 50MP 5000mAh Dual SIM - Bleu",BLACKVIEW,8 Go + jusqu'à 16 Go d'extension,256 Go,,,BLACKVIEW Shark 9,"179,99",cdiscount.com,SMARTPHONE
XIAOMI Redmi Note 9S Bleu Aurore 64 Go,XIAOMI,4 Go,64 Go,Bleu,MZB9395EU,,"102,99",cdiscount.com,SMARTPHONE
POCO F7 Ultra Noir 12 GO + 256 GO,XIAOMI,,12 Go + 256 Go,Noir,,,"699,9",cdiscount.com,SMARTPHONE
GOOGLE Pixel 7 - 128 Go - Noir,GOOGLE,8 Go de RAM LPDDR5,128 Go,Noir,GA03923-GB,Google Pixel 7,"249,94",cdiscount.com,SMARTPHONE
APPLE iPhone 12 mini 128Go Noir - Reconditionné - Excellent état,APPLE,4 Go,128 Go,Noir,MGE33F/A,,"198,08",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
XIAOMI Redmi 14C 4Go+128 Go Smartphone 4G Bleu,XIAOMI,,,,,,103,cdiscount.com,SMARTPHONE
Samsung Galaxy S24 Plus Smartphone 256 Go Noir,SAMSUNG,12Go,256 Go,Noir,SM-S926BZKDEUB,S24 Plus,566,cdiscount.com,SMARTPHONE
HONOR 200 Lite Smartphone 5G 8Go +256Go - Appareil photo principal 108 MP/avant 50MP - MagicOS 8.0 -Cyan,HONOR,8GO,256Go,,,HONOR 200 Lite,"197,9",cdiscount.com,SMARTPHONE
HONOR 200 Lite 5G 8Go 256Go Noir Téléphone MediaTek Dimensity 6080 6.7” AMOLED 90Hz Caméra principale 108MP 4500 mAh Smartphone,HONOR,,256 Go,,,,"197,9",cdiscount.com,SMARTPHONE
APPLE iPhone 13 128 Go Bleu (2021) - Reconditionné - Excellent état,APPLE,,128 Go,Bleu,MLPK3F/A,,"289,99",cdiscount.com,SMARTPHONE
SAMSUNG Galaxy S23 Ultra 512Go Noir,SAMSUNG,8Go,512Go,Noir,SM-S918BZKHEUB,S23 Ultra,"538,99",cdiscount.com,SMARTPHONE
APPLE iPhone 16 Pro Max 256GB Black Titanium,APPLE,,256 Go,Black Titanium,MYWV3ZD/A,iPhone 16 Pro Max,1389,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
Xiaomi Redmi 14C Bleu (8 Go / 256 Go) - Smartphone 4G-LTE Dual SIM - Helio G81-Ultra 8-Core 2.0 GHz - RAM 8 Go - Ecran tactile,XIAOMI,,,,,,126,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
Xiaomi Redmi 13 8Go/256Go Rose Double SIM NFC,XIAOMI,,,,,,"119,99",cdiscount.com,SMARTPHONE
SAMSUNG Galaxy Note 10  256 Go Argent - Reconditionné - Excellent état,SAMSUNG,8 Go,256 Go,Argent,,,"199,98",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
APPLE iPhone 13 Pro 128 Go Graphite (2021) - Reconditionné - Excellent état,APPLE,,128 Go,Graphite,MLV93F/A,,"379,99",cdiscount.com,SMARTPHONE
Samsung Galaxy A35 Smartphone 128 Go 5G Bleu nuit,SAMSUNG,6 Go,128 Go,Bleu nuit,SM-A356BZKBEUB,A35,"233,86",cdiscount.com,SMARTPHONE
SAMSUNG Galaxy S23 256Go Noir,SAMSUNG,8Go,256Go,Noir,SM-S911BZKGEUB,Samsung Galaxy S23,"349,95",cdiscount.com,SMARTPHONE
SAMSUNG Galaxy A26 5G Smartphone 128 Go Noir,SAMSUNG,6 Go,128 Go,Noir,SM-A266BZKBEUB,Galaxy A26,"277,95",cdiscount.com,SMARTPHONE
"OUKITEL C36 Smartphone 24(8+16)Go RAM+ 256Go ROM - 5150mAh - Android 14 - Écran HD+ 6.52"" - 13MP+ 5MP - OTG/GPS Dual SIM 4G - Bleu",OUKITEL,8 Go + 16 Go d'extension,,Bleu,,OUKITEL C36,"116,99",cdiscount.com,SMARTPHONE
Telephone portable Doogee S61 Smartphone Avec NFC Google Pay Double caméra 6 Go+64 Go Android 12.0 batterie 5180mAh - AG Frost,DOOGEE,6 Go,6 Go + 64 Go,Frotter,,S61,"98,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
HONOR 200 Pro 5G 12Go 512Go Cyan 6.78” AMOLED 120Hz Snapdragon 8s Gen3 5200mAh Surcharge sans fil 66 W Smartphone,HONOR,,512 Go,,,,449,cdiscount.com,SMARTPHONE
APPLE iPhone 14 128GB Blue - Reconditionné - Excellent état,APPLE,,128 Go,Blue,MPVN3ZD/A,Iphone 14,"359,15",cdiscount.com,SMARTPHONE
Samsung Galaxy S24 Smartphone 128 Go Crème,SAMSUNG,8Go,128 Go,Crème,SM-S921BZYDEUB,S24,"404,88",cdiscount.com,SMARTPHONE
"Smartphone HUAWEI P30 Pro 256 Go Bleu Aurore - Android 9.0 Pie - Double SIM - 6,47"" - 8 Go RAM",HUAWEI,,,,51093QFU,,205,cdiscount.com,SMARTPHONE
SAMSUNG Galaxy S23 128Go Crème,SAMSUNG,8Go,128Go,Crème,SM-S911BZEDEUB,Samsung Galaxy S23,339,cdiscount.com,SMARTPHONE
Smartphone HONOR Magic7 Lite 5G 8Go 256Go Noir 6.78” Snapdragon 6 Gen 1 6600mAh,HONOR,,,,,,299,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
Smartphone Google Pixel 8a 5G Double Sim 128Go Obsidian Noir,GOOGLE,,128 Go,Noir,,,330,cdiscount.com,SMARTPHONE
XIAOMI Redmi Note 11 6Go 128Go Gris Graphite Smartphone,,6 Go,,,,,"112,35",cdiscount.com,SMARTPHONE
Google Pixel 8 Pro 5G 12 Go/256 Go Noir (Obsidian Black) Double SIM,GOOGLE,,,,,,"533,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
Xiaomi Redmi 14C Bleu (8 Go / 256 Go) - Smartphone 4G-LTE Dual SIM - Helio G81-Ultra 8-Core 2.0 GHz - RAM 8 Go - Ecran tactile,XIAOMI,,,,,,126,cdiscount.com,SMARTPHONE
SAMSUNG GALAXY S22 Ultra 128Go 5G Noir,SAMSUNG,RAM : 8/12Go LPDDR5,128 Go,Noir,908B128N2,Android,"371,84",cdiscount.com,SMARTPHONE
