Nom du produit,Marque,RAM,Capacité (mémoire),Couleur(s),Référence,Modèle de téléphone,Prix,Site web,Catégorie
SAMSUNG Galaxy A54 5G Smartphone Noir 128 Go,SAMSUNG,8 Go,128 Go,Noir,SM-A546BZKCEEB,A54 EE,229,cdiscount.com,SMARTPHONE
"Blackview WAVE 8C Smartphone 6Go (2+4) RAM /64Go ROM 6.56"" HD+ 13MP 4700mAh Téléphone Portable Android 14 GPS Double SIM 4G - Noir",BLACKVIEW,2 Go + 4 Go extension de RAM virtuelle,(2+4) Go RAM + 64 Go ROM,Noir,,WAVE 8C,"72,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
Smartphone Blackview SHARK 8 Android13 Téléphone Portable 5000mAH -Écran 2.4K 6.78'' 120Hz -16GB+256GB -64MP+13MP-NFC/OTC -Bleu,BLACKVIEW,8 Go RAM + jusqu'à 8Go d'extension,256 Go,Bleu,,"Blackview Shark 8 Smartphone 6.78"" 2.4K Écran 16Go","146,99",cdiscount.com,SMARTPHONE
APPLE iPhone 14 128GB Midnight - Reconditionné - Excellent état,APPLE,,128 Go,Midnight,MPUF3ZD/A,Iphone 14,"399,99",cdiscount.com,SMARTPHONE
XIAOMI Redmi 14C 8Go+256 Go Smartphone 4G  adaptateur inclus Violet,XIAOMI,,,,,,"119,59",cdiscount.com,SMARTPHONE
XIAOMI - REDMI 13C - 128Go - Noir minuit,XIAOMI,LPDDR4X extensible jusqu’à 16 Go,128Go,Noir minuit,REDMI13C4128N,Redmi 13C,"96,96",cdiscount.com,SMARTPHONE
HUAWEI P30 Lite 128 Go Noir,HUAWEI,4 Go,128 Go,Noir,51095RHL,,"88,99",cdiscount.com,SMARTPHONE
SAMSUNG Galaxy A14 5G Noir 64 Go,SAMSUNG,4 Go,64 Go,Noir,SM-A156BZKDEUB,A14 5G,"101,22",cdiscount.com,SMARTPHONE
"OUKITEL C57 Pro 4G Smartphone 16Go (4+12) RAM /128Go ROM - 6.52"" 13MP Android 14 Téléphone Portable 4300mAh GPS Double SIM - Noir",OUKITEL,4 Go RAM + jusqu'à 12 Go d'extension,16Go (4+12) RAM/ 128Go ROM,Noir,,C57 Pro,"81,99",cdiscount.com,SMARTPHONE
"Blackview WAVE 8 Téléphone Portable - 12Go (4+8) RAM /128Go ROM - 6.56"" - 13MP - 5000mAH - Android 14 GPS Double SIM 4G - Violet",BLACKVIEW,4 Go RAM + jusqu'à 8 Go d'extension,12 Go + 128 Go,Violet,,WAVE 8,"88,99",cdiscount.com,SMARTPHONE
"Blackview WAVE 8C Smartphone, 6Go (2+4) RAM /64Go ROM, 6.56"" 13MP 4700mAh Téléphone Portable Android 14 GPS Double SIM 4G - Violet",BLACKVIEW,2 Go + 4 Go extension de RAM virtuelle,(2+4) Go RAM + 64 Go ROM,Violet,,WAVE 8C,"72,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
Xiaomi Redmi 14C Bleu - 128Go - 4Go,XIAOMI,,,,,,"99,99",cdiscount.com,SMARTPHONE
SAMSUNG Galaxy A16 Smartphone 128Go Bleu nuit,SAMSUNG,4 Go,128 Go,Bleu nuit,SM-A165FZKBEUB,A16 4G,144,cdiscount.com,SMARTPHONE
HUAWEI P30 Lite 128 Go Bleu,HUAWEI,4 Go,128 Go,Bleu,51095RHQ,,"88,99",cdiscount.com,SMARTPHONE
XIAOMI POCO M6 Pro 12+512G Violet,XIAOMI,,,,,,"209,99",cdiscount.com,SMARTPHONE
Samsung Galaxy A35 5G 6 Go/128 Go Jaune (Awesome Lemon) Double SIM SM-A356,SAMSUNG,,,,,,"289,59",cdiscount.com,SMARTPHONE
Huawei P30 Pro 8+256G Blanc Dual-SIM,HUAWEI,,,,,,"204,99",cdiscount.com,SMARTPHONE
APPLE iPhone 13 128 Go Midnight (2021) - Reconditionné - Excellent état,APPLE,,128 Go,Noir,MLPF3F/A,,"319,99",cdiscount.com,SMARTPHONE
APPLE iPhone 14 128GB Blue - Reconditionné - Excellent état,APPLE,,128 Go,Blue,MPVN3ZD/A,Iphone 14,"396,4",cdiscount.com,SMARTPHONE
"Telephone portable DOOGEE N50PRO Smartphone,20+256Go,Octa Core -6.52"" HD+ Android 13.0 4200mAh 50+2MP déblocage du visage - Violet",DOOGEE,20Go (8Go + jusqu'à 12go RAM étendue),20 Go + 256 Go,Violet,,N50PRO,"79,99",cdiscount.com,SMARTPHONE
SAMSUNG Galaxy Z Fold3 512Go Noir (2021) - Reconditionné - Excellent état,SAMSUNG,,,,F926512 N,,742,cdiscount.com,SMARTPHONE
"OUKITEL C36 Smartphone 24(8+16)Go RAM+ 256Go ROM - 5150mAh - Android 14 - Écran HD+ 6.52"" - 13MP+ 5MP - OTG/GPS Dual SIM 4G - Vert",OUKITEL,8 Go + 16 Go d'extension,,Vert,,OUKITEL C36,"111,98",cdiscount.com,SMARTPHONE
"XIAOMI Redmi Note 14 Pro Plus 5G Smartphone 12+512Go Violet Snapdragon 7s Gen3 Triple Caméra 200MP Écran AMOLED 120Hz 6,67"" 5110mAh",XIAOMI,,,,,,398,cdiscount.com,SMARTPHONE
SAMSUNG Galaxy SM-S901 S22 - 256GB - Lavande - Reconditionné - Excellent état,SAMSUNG,,256 Go,Lavande,RCDSAMVDCVYUI,S22,"325,99",cdiscount.com,SMARTPHONE
"SAMSUNG Galaxy S22 Ultra - 5G Smartphone 128Go, 12Go RAM, Single Sim, Noir",SAMSUNG,12 Go - LPDDR5 SDRAM,128 Go,Noir,,,"409,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
OPPO A73 5G 8 Go RAM 128 Go ROM double SIM rouge,OPPO,8 Go RAM,8 Go RAM 128 Go ROM,,,OPPO A73 5G,"99,98",cdiscount.com,SMARTPHONE
